nameofissuer	titleofclass	cusip	value	shrsorprnamt	investmentdiscretion	votingauthority	putcall
180 DEGREE CAP CORP	COM	68235B109	30	17300 SH	SOLE	17300 0 0	N/A
1ST CONSTITUTION BANCORP	COM	31986N102	351	17600 SH	SOLE	17600 0 0	N/A
22ND CENTY GROUP INC	COM	90137F103	29	11433 SH	SOLE	11433 0 0	N/A
3-D SYS CORP DEL	COM NEW	88554D205	309	30651 SH	SOLE	30651 0 0	N/A
3M CO	COM	88579Y101	58125	304710 SH	SOLE	304710 0 0	N/A
58 COM INC	SPON ADR REP A	31680Q104	511	9313 SH	SOLE	9313 0 0	N/A
ABB LTD	SPONSORED ADR	000375204	254	13114 SH	SOLE	13114 0 0	N/A
ABBOTT LABS	COM	002824100	52230	722655 SH	SOLE	722655 0 0	N/A
ABBVIE INC	COM	00287Y109	52402	568397 SH	SOLE	568397 0 0	N/A
ABERDEEN GLOBAL PREMIER PPTY	COM SH BEN INT	00302L108	72	14496 SH	SOLE	14496 0 0	N/A
ABERDEEN STD GOLD ETF TR	PHYSCL SWISS GLD	00326A104	16266	131713 SH	SOLE	131713 0 0	N/A
ABERDEEN STD PALLADIUM ETF T	PHYSCL PALLADM	003262102	3292	27648 SH	SOLE	27648 0 0	N/A
ABERDEEN STD SILVER ETF TR	PHYSCL SILVR SHS	003264108	10836	720035 SH	SOLE	720035 0 0	N/A
ABIOMED INC	COM	003654100	287	885 SH	SOLE	885 0 0	N/A
ABM INDS INC	COM	000957100	713	22218 SH	SOLE	22218 0 0	N/A
ACCENTURE PLC IRELAND	SHS CLASS A	G1151C101	23270	165008 SH	SOLE	165008 0 0	N/A
ACCURAY INC	COM	004397105	41	12000 SH	SOLE	12000 0 0	N/A
ACHILLION PHARMACEUTICALS IN	COM	00448Q201	21	13798 SH	SOLE	13798 0 0	N/A
ACI WORLDWIDE INC	COM	004498101	220	7962 SH	SOLE	7962 0 0	N/A
ACLARIS THERAPEUTICS INC	COM	00461U105	512	69406 SH	SOLE	69406 0 0	N/A
ACTIVISION BLIZZARD INC	COM	00507V109	2135	45867 SH	SOLE	45867 0 0	N/A
ACUITY BRANDS INC	COM	00508Y102	851	7478 SH	SOLE	7478 0 0	N/A
ADAMIS PHARMACEUTICALS CORP	COM NEW	00547W208	28	12191 SH	SOLE	12191 0 0	N/A
ADAMIS PHARMACEUTICALS CORP	COM NEW	00547W208	0	1500 SH	SOLE	1500 0 0	Call
ADAMS DIVERSIFIED EQUITY FD	COM	006212104	719	56990 SH	SOLE	56990 0 0	N/A
ADECOAGRO S A	COM	L00849106	85	12120 SH	SOLE	12120 0 0	N/A
ADOBE INC	COM	00724F101	18282	80850 SH	SOLE	80850 0 0	N/A
ADVANCE AUTO PARTS INC	COM	00751Y106	730	4655 SH	SOLE	4655 0 0	N/A
ADVANCED MICRO DEVICES INC	COM	007903107	631	34255 SH	SOLE	34255 0 0	N/A
ADVANCED MICRO DEVICES INC	COM	007903107	46	31000 SH	SOLE	31000 0 0	Call
ADVISORSHARES TR	DOUBLELIN VAL EQ	00768Y818	1557	26655 SH	SOLE	26655 0 0	N/A
ADVISORSHARES TR	RANGER EQUITY BE	00768Y883	224	26656 SH	SOLE	26656 0 0	N/A
AEGON N V	NY REGISTRY SHS	007924103	200	43213 SH	SOLE	43213 0 0	N/A
AERCAP HOLDINGS NV	SHS	N00985106	339	8574 SH	SOLE	8574 0 0	N/A
AERPIO PHARMACEUTICALS INC	COM	00810B105	43	25450 SH	SOLE	25450 0 0	N/A
AES CORP	COM	00130H105	3007	208672 SH	SOLE	208672 0 0	N/A
AETHLON MED INC	COM NEW	00808Y208	19	11000 SH	SOLE	11000 0 0	N/A
AFFILIATED MANAGERS GROUP	COM	008252108	411	4228 SH	SOLE	4228 0 0	N/A
AFFIMED N V	COM	N01045108	62	20000 SH	SOLE	20000 0 0	N/A
AFFIMED N V	COM	N01045108	12	15000 SH	SOLE	15000 0 0	Call
AFLAC INC	COM	001055102	3875	85140 SH	SOLE	85140 0 0	N/A
AGCO CORP	COM	001084102	482	8644 SH	SOLE	8644 0 0	N/A
AGENUS INC	COM NEW	00847G705	1	1500 SH	SOLE	1500 0 0	Call
AGENUS INC	COM NEW	00847G705	73	30110 SH	SOLE	30110 0 0	N/A
AGILENT TECHNOLOGIES INC	COM	00846U101	552	8161 SH	SOLE	8161 0 0	N/A
AGNC INVT CORP	COM	00123Q104	889	50618 SH	SOLE	50618 0 0	N/A
AIR PRODS & CHEMS INC	COM	009158106	25935	162164 SH	SOLE	162164 0 0	N/A
AKAMAI TECHNOLOGIES INC	COM	00971T101	401	6563 SH	SOLE	6563 0 0	N/A
ALASKA AIR GROUP INC	COM	011659109	1312	21600 SH	SOLE	21600 0 0	N/A
ALASKA AIR GROUP INC	COM	011659109	19	1000 SH	SOLE	1000 0 0	Call
ALBEMARLE CORP	COM	012653101	271	3450 SH	SOLE	3450 0 0	N/A
ALCOA CORP	COM	013872106	226	8528 SH	SOLE	8528 0 0	N/A
ALDEYRA THERAPEUTICS INC	COM	01438T106	135	16250 SH	SOLE	16250 0 0	N/A
ALEXCO RESOURCE CORP	COM	01535P106	9	10000 SH	SOLE	10000 0 0	N/A
ALEXION PHARMACEUTICALS INC	COM	015351109	431	4437 SH	SOLE	4437 0 0	N/A
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	33129	242182 SH	SOLE	242182 0 0	N/A
ALIGN TECHNOLOGY INC	COM	016255101	3520	16865 SH	SOLE	16865 0 0	N/A
ALLEGHENY TECHNOLOGIES INC	COM	01741R102	210	9667 SH	SOLE	9667 0 0	N/A
ALLEGIANT TRAVEL CO	COM	01748X102	210	2095 SH	SOLE	2095 0 0	N/A
ALLEGION PUB LTD CO	ORD SHS	G0176J109	802	10081 SH	SOLE	10081 0 0	N/A
ALLERGAN PLC	SHS	G0177J108	1	900 SH	SOLE	900 0 0	Call
ALLERGAN PLC	SHS	G0177J108	12268	91965 SH	SOLE	91965 0 0	N/A
ALLETE INC	COM NEW	018522300	265	3478 SH	SOLE	3478 0 0	N/A
ALLIANCEBERNSTEIN GBL HGH IN	COM	01879R106	225	21315 SH	SOLE	21315 0 0	N/A
ALLIANCEBERNSTEIN HOLDING LP	UNIT LTD PARTN	01881G106	1400	51284 SH	SOLE	51284 0 0	N/A
ALLIANCEBERNSTEIN NATL MUNI	COM	01864U106	305	25183 SH	SOLE	25183 0 0	N/A
ALLIANT ENERGY CORP	COM	018802108	643	15161 SH	SOLE	15161 0 0	N/A
ALLIANZGI CONV INCOME FD	COM	018828103	137	26671 SH	SOLE	26671 0 0	N/A
ALLIANZGI NFJ DIVID INT & PR	COM	01883A107	180	16719 SH	SOLE	16719 0 0	N/A
ALLSTATE CORP	COM	020002101	5900	71534 SH	SOLE	71534 0 0	N/A
ALLY FINL INC	COM	02005N100	1842	81194 SH	SOLE	81194 0 0	N/A
ALNYLAM PHARMACEUTICALS INC	COM	02043Q107	463	6344 SH	SOLE	6344 0 0	N/A
ALPHABET INC	CAP STK CL A	02079K305	71931	69231 SH	SOLE	69231 0 0	N/A
ALPHABET INC	CAP STK CL A	02079K305	169	5200 SH	SOLE	5200 0 0	Call
ALPHABET INC	CAP STK CL C	02079K107	56151	54454 SH	SOLE	54454 0 0	N/A
ALPHATEC HOLDINGS INC	COM NEW	02081G201	625	272476 SH	SOLE	272476 0 0	N/A
ALPS ETF TR	ALERIAN ENERGY	00162Q676	1723	96589 SH	SOLE	96589 0 0	N/A
ALPS ETF TR	ALERIAN MLP	00162Q866	35430	4062246 SH	SOLE	4062246 0 0	N/A
ALPS ETF TR	BARRONS 400 ETF	00162Q726	690	19495 SH	SOLE	19495 0 0	N/A
ALPS ETF TR	INTL SEC DV DOG	00162Q718	488	20492 SH	SOLE	20492 0 0	N/A
ALPS ETF TR	SECTR DIV DOGS	00162Q858	937	23934 SH	SOLE	23934 0 0	N/A
ALTA MESA RES INC	CL A	02133L109	30	30000 SH	SOLE	30000 0 0	N/A
ALTABA INC	COM	021346101	4728	81386 SH	SOLE	81386 0 0	N/A
ALTRIA GROUP INC	COM	02209S103	57432	1164488 SH	SOLE	1164488 0 0	N/A
ALTRIA GROUP INC	COM	02209S103	8	24500 SH	SOLE	24500 0 0	Call
AMARIN CORP PLC	SPONS ADR NEW	023111206	423	31114 SH	SOLE	31114 0 0	N/A
AMARIN CORP PLC	SPONS ADR NEW	023111206	17	1500 SH	SOLE	1500 0 0	Call
AMAZON COM INC	COM	023135106	23	1300 SH	SOLE	1300 0 0	Put
AMAZON COM INC	COM	023135106	137257	90980 SH	SOLE	90980 0 0	N/A
AMBEV SA	SPONSORED ADR	02319V103	486	124061 SH	SOLE	124061 0 0	N/A
AMC NETWORKS INC	CL A	00164V103	1756	31990 SH	SOLE	31990 0 0	N/A
AMEREN CORP	COM	023608102	878	13435 SH	SOLE	13435 0 0	N/A
